"Study","SampleSize","Scenario","Method","Effect","Replications","SuccessRate","Bias","RMSE","Coverage95","MonteCarloSE","AvgLength"
"Comparator",300,"Gaussian","Imai bootstrap","TNIE",500,1,-0.00135535685988617,0.0390221732775912,0.954,0.00936845771725528,0.162121006050154
"Comparator",300,"Gaussian","Imai bootstrap","PNDE",500,1,-0.00635515650402519,0.159173824018014,0.958,0.00897061870775924,0.606600561034859
"Comparator",300,"Gaussian","Imai bootstrap","TNDE",500,1,-0.00490318451677457,0.16020707938123,0.966,0.00810481338464989,0.608447841494822
"Comparator",300,"Gaussian","Imai bootstrap","TE",500,1,-0.00771051336391149,0.149093962231272,0.964,0.0083311463797007,0.564884563216782
"Comparator",300,"Gaussian","Imai quasi-Bayes","PNIE",500,1,-0.00268665433616177,0.0998773265508473,0.948,0.00992935043192656,0.386593755260168
"Comparator",300,"Gaussian","Imai quasi-Bayes","TNIE",500,1,-0.00148468582780052,0.0389913210106835,0.956,0.00917213170424412,0.162902384030789
"Comparator",300,"Gaussian","Imai quasi-Bayes","PNDE",500,1,-0.00268596733381556,0.147248634844208,0.96,0.00876356092008266,0.612514124585675
"Comparator",300,"Gaussian","Imai quasi-Bayes","TNDE",500,1,-0.00148399882545435,0.146348507432842,0.962,0.0085505555375075,0.614572194731943
"Comparator",300,"Gaussian","Imai quasi-Bayes","TE",500,1,-0.00417065316161613,0.135992558707415,0.96,0.00876356092008266,0.572191947590929
"Comparator",300,"Gaussian","medflex NEM","PNIE",500,1,-0.00371102252594947,0.100236517305911,0.942,0.0104533248299285,0.38941539946044
"Comparator",300,"Gaussian","medflex NEM","TNIE",500,1,-0.000736124903249213,0.0436270495753833,0.94,0.0106207344378814,0.173416878335997
"Comparator",300,"Gaussian","medflex NEM","PNDE",500,1,-0.00342935014302805,0.148056045660141,0.942,0.0104533248299285,0.5744420657732
"Comparator",300,"Gaussian","medflex NEM","TNDE",500,1,-0.000454452520327904,0.146968480387106,0.954,0.00936845771725528,0.575780018350357
"Comparator",300,"Gaussian","medflex NEM","TE",500,1,-0.00416547504627737,0.135810831314364,0.952,0.00955991631762538,0.526759958675184
"Comparator",300,"Gaussian","OLS","PNIE",500,1,-0.0028073288471369,0.0996212995887201,0.952,0.00955991631762538,0.383111079246777
"Comparator",300,"Gaussian","OLS","TNIE",500,1,-0.00135535685988616,0.0390221732775912,0.938,0.0107848041243223,0.157976603419427
"Comparator",300,"Gaussian","OLS","PNDE",500,1,-0.00260713842070754,0.14708278581411,0.954,0.00936845771725528,0.570628392550493
"Comparator",300,"Gaussian","OLS","TNDE",500,1,-0.0011551664334569,0.146178989320229,0.952,0.00955991631762538,0.571479390862561
"Comparator",300,"Gaussian","OLS","TE",500,1,-0.00396249528059378,0.13586645246815,0.95,0.00974679434480897,0.526582084423971
"Comparator",300,"Gaussian","Semiparametric","PNIE",500,1,-0.00250133856728477,0.107247082092623,0.944,0.0102824121683582,0.406642308232006
"Comparator",300,"Gaussian","Semiparametric","TNIE",500,1,-0.00147144912508404,0.0408353906377332,0.934,0.0111035129576184,0.165854827227579
"Comparator",300,"Gaussian","Semiparametric","PNDE",500,1,-0.00258783199525626,0.150103835785815,0.95,0.00974679434480897,0.59610905505335
"Comparator",300,"Gaussian","Semiparametric","TNDE",500,1,-0.00155794255305563,0.155462851204914,0.942,0.0104533248299285,0.598169245902324
"Comparator",300,"Gaussian","Semiparametric","TE",500,1,-0.00405928112034039,0.138544458654112,0.952,0.00955991631762538,0.548509663077309
"Comparator",300,"Skew-normal","Imai bootstrap","PNIE",500,1,0.0075183983149458,0.0971052493190415,0.948,0.00992935043192656,0.387445714988562
"Comparator",300,"Skew-normal","Imai bootstrap","TNIE",500,1,-0.00509214209792293,0.041001460990111,0.92,0.0121326007104825,0.155532572005692
"Comparator",300,"Skew-normal","Imai bootstrap","PNDE",500,1,-0.00146531580883696,0.150975848631933,0.978,0.00655987804764693,0.607324651525523
