"Study","SampleSize","Scenario","Replication","Method","Success"
"Main",500,"Gaussian",101,"OLS",TRUE
"Main",500,"Gaussian",101,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",972,"OLS",TRUE
"Main",200,"Symmetric bimodal",972,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",901,"OLS",TRUE
"Main",200,"Asymmetric mixture",901,"Semiparametric",TRUE
"Main",500,"Skew-normal",559,"OLS",TRUE
"Main",500,"Skew-normal",559,"Semiparametric",TRUE
"Main",200,"Skew-normal",130,"OLS",TRUE
"Main",200,"Skew-normal",130,"Semiparametric",TRUE
"Main",200,"Gaussian",270,"OLS",TRUE
"Main",200,"Gaussian",270,"Semiparametric",TRUE
"Main",200,"Skew-normal",260,"OLS",TRUE
"Main",200,"Skew-normal",260,"Semiparametric",TRUE
"Main",500,"Skew-normal",353,"OLS",TRUE
"Main",500,"Skew-normal",353,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",233,"OLS",TRUE
"Main",200,"Symmetric bimodal",233,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",328,"OLS",TRUE
"Main",500,"Asymmetric mixture",328,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",192,"OLS",TRUE
"Main",500,"Asymmetric mixture",192,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",908,"OLS",TRUE
"Main",200,"Symmetric bimodal",908,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",491,"OLS",TRUE
"Main",500,"Symmetric bimodal",491,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",920,"OLS",TRUE
"Main",500,"Symmetric bimodal",920,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",177,"OLS",TRUE
"Main",500,"Asymmetric mixture",177,"Semiparametric",TRUE
"Main",200,"Skew-normal",294,"OLS",TRUE
"Main",200,"Skew-normal",294,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",899,"OLS",TRUE
"Main",500,"Symmetric bimodal",899,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",741,"OLS",TRUE
"Main",500,"Symmetric bimodal",741,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",225,"OLS",TRUE
"Main",500,"Asymmetric mixture",225,"Semiparametric",TRUE
"Main",200,"Gaussian",52,"OLS",TRUE
"Main",200,"Gaussian",52,"Semiparametric",TRUE
"Main",500,"Gaussian",838,"OLS",TRUE
"Main",500,"Gaussian",838,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",995,"OLS",TRUE
"Main",200,"Symmetric bimodal",995,"Semiparametric",TRUE
"Main",500,"Skew-normal",178,"OLS",TRUE
"Main",500,"Skew-normal",178,"Semiparametric",TRUE
"Main",500,"Skew-normal",955,"OLS",TRUE
"Main",500,"Skew-normal",955,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",438,"OLS",TRUE
"Main",200,"Asymmetric mixture",438,"Semiparametric",FALSE
"Main",500,"Skew-normal",26,"OLS",TRUE
"Main",500,"Skew-normal",26,"Semiparametric",TRUE
"Main",500,"Skew-normal",312,"OLS",TRUE
"Main",500,"Skew-normal",312,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",445,"OLS",TRUE
"Main",500,"Asymmetric mixture",445,"Semiparametric",TRUE
"Main",500,"Gaussian",377,"OLS",TRUE
"Main",500,"Gaussian",377,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",29,"OLS",TRUE
"Main",500,"Asymmetric mixture",29,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",222,"OLS",TRUE
"Main",200,"Symmetric bimodal",222,"Semiparametric",TRUE
"Main",200,"Gaussian",115,"OLS",TRUE
"Main",200,"Gaussian",115,"Semiparametric",TRUE
"Main",200,"Gaussian",822,"OLS",TRUE
"Main",200,"Gaussian",822,"Semiparametric",TRUE
"Main",500,"Skew-normal",725,"OLS",TRUE
"Main",500,"Skew-normal",725,"Semiparametric",TRUE
"Main",200,"Gaussian",934,"OLS",TRUE
"Main",200,"Gaussian",934,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",411,"OLS",TRUE
"Main",200,"Symmetric bimodal",411,"Semiparametric",TRUE
"Main",200,"Skew-normal",137,"OLS",TRUE
"Main",200,"Skew-normal",137,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",45,"OLS",TRUE
"Main",200,"Asymmetric mixture",45,"Semiparametric",FALSE
"Main",500,"Gaussian",781,"OLS",TRUE
"Main",500,"Gaussian",781,"Semiparametric",TRUE
"Main",500,"Gaussian",801,"OLS",TRUE
"Main",500,"Gaussian",801,"Semiparametric",TRUE
"Main",200,"Skew-normal",123,"OLS",TRUE
"Main",200,"Skew-normal",123,"Semiparametric",TRUE
"Main",500,"Skew-normal",674,"OLS",TRUE
"Main",500,"Skew-normal",674,"Semiparametric",TRUE
"Main",200,"Gaussian",538,"OLS",TRUE
"Main",200,"Gaussian",538,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",743,"OLS",TRUE
"Main",200,"Symmetric bimodal",743,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",593,"OLS",TRUE
"Main",500,"Asymmetric mixture",593,"Semiparametric",TRUE
"Main",200,"Skew-normal",144,"OLS",TRUE
"Main",200,"Skew-normal",144,"Semiparametric",TRUE
"Main",200,"Skew-normal",643,"OLS",TRUE
"Main",200,"Skew-normal",643,"Semiparametric",TRUE
"Main",200,"Gaussian",611,"OLS",TRUE
"Main",200,"Gaussian",611,"Semiparametric",TRUE
"Main",200,"Gaussian",787,"OLS",TRUE
"Main",200,"Gaussian",787,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",663,"OLS",TRUE
"Main",200,"Symmetric bimodal",663,"Semiparametric",TRUE
"Main",200,"Skew-normal",432,"OLS",TRUE
"Main",200,"Skew-normal",432,"Semiparametric",TRUE
"Main",200,"Gaussian",673,"OLS",TRUE
"Main",200,"Gaussian",673,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",33,"OLS",TRUE
"Main",200,"Asymmetric mixture",33,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",137,"OLS",TRUE
"Main",200,"Asymmetric mixture",137,"Semiparametric",FALSE
"Main",500,"Symmetric bimodal",22,"OLS",TRUE
"Main",500,"Symmetric bimodal",22,"Semiparametric",TRUE
"Main",200,"Skew-normal",818,"OLS",TRUE
"Main",200,"Skew-normal",818,"Semiparametric",TRUE
"Main",500,"Skew-normal",547,"OLS",TRUE
"Main",500,"Skew-normal",547,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",409,"OLS",TRUE
"Main",200,"Asymmetric mixture",409,"Semiparametric",TRUE
"Main",500,"Gaussian",13,"OLS",TRUE
"Main",500,"Gaussian",13,"Semiparametric",TRUE
"Main",500,"Gaussian",637,"OLS",TRUE
"Main",500,"Gaussian",637,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",809,"OLS",TRUE
"Main",200,"Symmetric bimodal",809,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",822,"OLS",TRUE
"Main",200,"Asymmetric mixture",822,"Semiparametric",TRUE
"Main",200,"Gaussian",944,"OLS",TRUE
"Main",200,"Gaussian",944,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",687,"OLS",TRUE
"Main",500,"Asymmetric mixture",687,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",792,"OLS",TRUE
"Main",200,"Symmetric bimodal",792,"Semiparametric",TRUE
"Main",200,"Gaussian",699,"OLS",TRUE
"Main",200,"Gaussian",699,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",869,"OLS",TRUE
"Main",200,"Asymmetric mixture",869,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",852,"OLS",TRUE
"Main",200,"Asymmetric mixture",852,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",180,"OLS",TRUE
"Main",200,"Asymmetric mixture",180,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",677,"OLS",TRUE
"Main",500,"Asymmetric mixture",677,"Semiparametric",TRUE
"Main",200,"Gaussian",303,"OLS",TRUE
"Main",200,"Gaussian",303,"Semiparametric",TRUE
