"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Main",200,"Asymmetric mixture",679,"TNDE",0.998474115296347,0.0842749787398574,0.833298192168348,1.16365003842435,"Semiparametric"
"Main",200,"Asymmetric mixture",679,"TE",0.706954708795143,0.0800755428870045,0.550009528694122,0.863899888896165,"Semiparametric"
"Main",500,"Skew-normal",757,"PNIE",-0.28091628679938,0.0742809925121162,-0.426504356859017,-0.135328216739743,"OLS"
"Main",500,"Skew-normal",757,"TNIE",0.0741314256110866,0.0342742860827327,0.00695505929310804,0.141307791929065,"OLS"
"Main",500,"Skew-normal",757,"PNDE",0.443959112535883,0.113353473723243,0.22179038651582,0.666127838555946,"OLS"
"Main",500,"Skew-normal",757,"TNDE",0.79900682494635,0.110769308614443,0.58190296946964,1.01611068042306,"OLS"
"Main",500,"Skew-normal",757,"TE",0.51809053814697,0.105835501092829,0.310656767719276,0.725524308574663,"OLS"
"Main",500,"Skew-normal",757,"PNIE",-0.321408952545818,0.0586464881734348,-0.436353957185504,-0.206463947906132,"Semiparametric"
"Main",500,"Skew-normal",757,"TNIE",0.0903744274024796,0.0419773819972208,0.00810027052264682,0.172648584282312,"Semiparametric"
"Main",500,"Skew-normal",757,"PNDE",0.492361354047008,0.0951069163926998,0.305955223236655,0.678767484857362,"Semiparametric"
"Main",500,"Skew-normal",757,"TNDE",0.904144733995306,0.0903678743458618,0.727026954917976,1.08126251307264,"Semiparametric"
"Main",500,"Skew-normal",757,"TE",0.582735781449488,0.0877837418765248,0.410682808943339,0.754788753955637,"Semiparametric"
"Main",500,"Gaussian",5,"PNIE",-0.301691696815749,0.0788785212223764,-0.456290757565385,-0.147092636066113,"OLS"
"Main",500,"Gaussian",5,"TNIE",0.0454678178405259,0.0242909176191142,-0.00214150584436731,0.093077141525419,"OLS"
"Main",500,"Gaussian",5,"PNDE",0.629921995329217,0.111493595283916,0.411398564065858,0.848445426592577,"OLS"
"Main",500,"Gaussian",5,"TNDE",0.977081509985492,0.104892991702218,0.771495024018486,1.1826679959525,"OLS"
"Main",500,"Gaussian",5,"TE",0.675389813169743,0.104184071886491,0.47119278450949,0.879586841829996,"OLS"
"Main",500,"Gaussian",5,"PNIE",-0.294454026432751,0.0738610374658101,-0.439218999726502,-0.149689053139,"Semiparametric"
"Main",500,"Gaussian",5,"TNIE",0.0488541509681171,0.0291028275494367,-0.00818634287705877,0.105894644813293,"Semiparametric"
"Main",500,"Gaussian",5,"PNDE",0.657526380250609,0.114502557650735,0.433105491117448,0.88194726938377,"Semiparametric"
"Main",500,"Gaussian",5,"TNDE",1.00083455765148,0.10266510708076,0.79961464530424,1.20205446999871,"Semiparametric"
"Main",500,"Gaussian",5,"TE",0.706380531218726,0.109269014821406,0.492217197542596,0.920543864894855,"Semiparametric"
"Main",500,"Gaussian",574,"PNIE",-0.21045133124336,0.065019554623329,-0.33788731659592,-0.0830153458908008,"OLS"
"Main",500,"Gaussian",574,"TNIE",0.0694771479312701,0.0271472805030917,0.0162694558670041,0.122684839995536,"OLS"
"Main",500,"Gaussian",574,"PNDE",0.767148068180768,0.110601899929437,0.550372327697369,0.983923808664168,"OLS"
