"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Comparator",300,"Skew-normal",1,"TNIE",0.154845944372208,0.0553810874194195,0.046301007605482,0.263390881138935,"medflex NEM"
"Comparator",300,"Skew-normal",1,"PNDE",0.594132234803966,0.152041419448086,0.296136528527369,0.892127941080562,"medflex NEM"
"Comparator",300,"Skew-normal",1,"TNDE",1.20609753039382,0.142554936735774,0.92669498857332,1.48550007221433,"medflex NEM"
"Comparator",300,"Skew-normal",1,"TE",0.748978179176174,0.135882870328699,0.482652647215999,1.01530371113635,"medflex NEM"
"Comparator",300,"Asymmetric mixture",1,"PNIE",-0.373889551397472,0.0972434780197543,-0.564483266047602,-0.183295836747341,"OLS"
"Comparator",300,"Asymmetric mixture",1,"TNIE",0.114246915883288,0.0419551396165582,0.032016353268484,0.196477478498091,"OLS"
"Comparator",300,"Asymmetric mixture",1,"PNDE",0.816084579309752,0.140409651376771,0.540886719529456,1.09128243909005,"OLS"
"Comparator",300,"Asymmetric mixture",1,"TNDE",1.30422104659051,0.145010281587941,1.02000611729014,1.58843597589089,"OLS"
"Comparator",300,"Asymmetric mixture",1,"TE",0.93033149519304,0.124476494417336,0.68636204921326,1.17430094117282,"OLS"
"Comparator",300,"Asymmetric mixture",1,"PNIE",-0.312972934480562,0.0234817750151481,-0.358996367803325,-0.266949501157799,"Semiparametric"
"Comparator",300,"Asymmetric mixture",1,"TNIE",0.0802956924340947,0.00969769474547247,0.0612885599999053,0.0993028248682841,"Semiparametric"
"Comparator",300,"Asymmetric mixture",1,"PNDE",0.73348079277413,0.0670360354139295,0.602092577696476,0.864869007851783,"Semiparametric"
"Comparator",300,"Asymmetric mixture",1,"TNDE",1.12674941968879,0.0661627124137883,0.99707288623828,1.25642595313929,"Semiparametric"
"Comparator",300,"Asymmetric mixture",1,"TE",0.813776485208224,0.065742249843325,0.684924043252673,0.942628927163775,"Semiparametric"
"Comparator",300,"Asymmetric mixture",1,"PNIE",-0.373036615150002,NA,-0.557295459077642,-0.190684436715837,"Imai quasi-Bayes"
"Comparator",300,"Asymmetric mixture",1,"TNIE",0.115191740487368,NA,0.041717516839922,0.217442995217126,"Imai quasi-Bayes"
"Comparator",300,"Asymmetric mixture",1,"PNDE",0.820156404550806,NA,0.516052900805769,1.12223020847343,"Imai quasi-Bayes"
"Comparator",300,"Asymmetric mixture",1,"TNDE",1.30838476018818,NA,1.0108143693229,1.62316285569523,"Imai quasi-Bayes"
"Comparator",300,"Asymmetric mixture",1,"TE",0.935348145038175,NA,0.647892853419056,1.21721548736583,"Imai quasi-Bayes"
"Comparator",300,"Asymmetric mixture",1,"PNIE",-0.37388955139747,NA,-0.568008206002924,-0.199029266742092,"Imai bootstrap"
"Comparator",300,"Asymmetric mixture",1,"TNIE",0.114246915883288,NA,0.0443694374403365,0.205625160103628,"Imai bootstrap"
"Comparator",300,"Asymmetric mixture",1,"PNDE",0.912234476347738,NA,0.531069332594349,1.11178537671316,"Imai bootstrap"
"Comparator",300,"Asymmetric mixture",1,"TNDE",1.4003709436285,NA,1.03414018352291,1.62144537661948,"Imai bootstrap"
"Comparator",300,"Asymmetric mixture",1,"TE",1.02648139223103,NA,0.686185718893012,1.19523756944861,"Imai bootstrap"
"Comparator",300,"Asymmetric mixture",1,"PNIE",-0.410319310360382,0.101338185371248,-0.608938503946672,-0.211700116774093,"medflex NEM"
"Comparator",300,"Asymmetric mixture",1,"TNIE",0.178081023734607,0.0515484475838679,0.077047923011275,0.279114124457939,"medflex NEM"
"Comparator",300,"Asymmetric mixture",1,"PNDE",0.764281581455733,0.143740974663711,0.482554448012175,1.04600871489929,"medflex NEM"
"Comparator",300,"Asymmetric mixture",1,"TNDE",1.35268191555072,0.147809296794199,1.0629810172539,1.64238281384754,"medflex NEM"
"Comparator",300,"Asymmetric mixture",1,"TE",0.94236260519034,0.125679409947868,0.696035488094275,1.18868972228641,"medflex NEM"
"Comparator",300,"Symmetric bimodal",1,"PNIE",-0.512506812866429,0.113537767085869,-0.735036747239831,-0.289976878493028,"OLS"
"Comparator",300,"Symmetric bimodal",1,"TNIE",0.0693404008802918,0.046449021173517,-0.02169800773694,0.160378809497524,"OLS"
"Comparator",300,"Symmetric bimodal",1,"PNDE",0.502518312651011,0.15251774007058,0.203589035109232,0.801447590192789,"OLS"
"Comparator",300,"Symmetric bimodal",1,"TNDE",1.08436552639773,0.152918569990044,0.784650636649878,1.38408041614559,"OLS"
"Comparator",300,"Symmetric bimodal",1,"TE",0.571858713531303,0.141558502106839,0.294409147696461,0.849308279366145,"OLS"
"Comparator",300,"Symmetric bimodal",1,"PNIE",-0.284859687342293,0.0268305311184738,-0.337446562020583,-0.232272812664003,"Semiparametric"
"Comparator",300,"Symmetric bimodal",1,"TNIE",0.0590270381065983,0.00913827396166268,0.0411163502608793,0.0769377259523173,"Semiparametric"
